name,description,long_description,author,tags,id,input_parameters,upload_options
Superbio AutoML: Regression,AutoML pipeline by Superbio for regression.,"<p>Creates a series of models for tabular data and picks the best one. You can save the best model for later use at the end of the training.<br><br><span style=""font-weight: bold"">Limitations:</span> Data should not have leakage and be as clean as possible.<br><br><span style=""font-weight: bold"">Technology:</span> Classical ML models including XgBoost, Ensamble, and Bagging.<br><br><span style=""font-weight: bold"">Use cases:</span> Create a regression model from tabular data.</p>",Superbio,"['AutoML', 'General Use', 'csv', 'Computational Biology and Bioinformatics']",639a80982ffa50c6deece221,"[{'default_value': {'label': 'Target', 'value': 'Target'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'target', 'options': [], 'title': 'Target', 'tooltip': 'Choose variable/column you want to predict.'}, {'default_value': 'regression', 'hidden': True, 'input_type': 'user_input', 'name': 'task_ex', 'title': 'task', 'tooltip': 'task', 'type': 'text'}, {'default_value': 'train', 'hidden': True, 'input_type': 'user_input', 'name': 'mode', 'title': 'mode', 'tooltip': 'mode', 'type': 'text'}, {'default_value': {'label': 'RMSE', 'value': 'root_mean_squared_error'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'eval_metric', 'options': [{'label': 'RMSE', 'value': 'root_mean_squared_error'}, {'label': 'MSE', 'value': 'mean_squared_error'}, {'label': 'MAE', 'value': 'mean_absolute_error'}, {'label': 'Median Abs Error', 'value': 'median_absolute_error'}, {'label': 'r2', 'value': 'r2'}, {'label': 'Mean Abs Perc Error', 'value': 'mean_absolute_percentage_error'}], 'title': 'Metric', 'tooltip': 'Choose the metric you want to optimize during training. Suggested: RMSE or r2'}, {'default_value': 0.2, 'increment': 0.01, 'input_type': 'slider', 'max_value': 0.99, 'max_value_included': True, 'min_value': 0.01, 'min_value_inclusive': True, 'name': 'test_size', 'title': 'Percentage Test-Data', 'tooltip': 'Percentage of the dataset to be used as Test', 'type': 'float'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format. Each column is a variable, and each row an observation.', 'demoDataDetails': {'description': 'Data obtained from Applying the AFRAID and FRIGHT Clocks to Novel Preclinical Mouse Models of Polypharmacy. It computes the AFRAID-clock which measures the expected lifespan for lab mice.', 'fileName': 'demo_data.csv', 'filePath': 'apps/sb_automl_training/resources_regression/demo_data_reg.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://pubmed.ncbi.nlm.nih.gov/35313348/'}], 'previewFileName': 'apps/sb_automl_training/resources_regression/demo_data_reg.csv'}, 'disabled': False, 'name': 'train_data', 'optional': False, 'supportsPreview': True, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Predict Binding of Inhibitors to BACE-1,Predicts inhibition for SMILES-molecules to human beta-secretase 1 using ChemBERTa.,"<p>Predicts binding and inhibition of molecules, in SMILES format, to human beta-secretace1 (BACE-1). BACE-1 has been implicated as a central player in the pathogenesis of Alzheimer's disease. Our model was fine-tuned with the BACE dataset and uses the ChemBERTa transformer.<br><br><strong>Example use case</strong>: Alzheimer's research.<br><br><strong>Technology</strong>: ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.845&nbsp;</p>
",ChemBERTa & Superbio,"['Classification', 'Drug-target Interactions', 'csv', 'Cheminformatics']",639aa7de2ffa50c6deece263,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'BACE1', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the BACE1 dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/BACE1/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://moleculenet.org/datasets-1'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Skin and Tissue,Predicts if a SMILES-molecule will cause skin and subcutaneous tissue disorders using ChemBERTa.,"<p>Predicts possible undesirable side effects on the skin and subcutaneous tissue of molecules (SMILES format). Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.73</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639ab2422ffa50c6deece26f,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Skin and subcutaneous tissue disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Skin and subcutaneous tissue disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
SpliceAI: A deep learning-based tool to identify splice variants,SpliceAI can precisely predict splice junctions from any pre-mRNA transcript sequence by using a deep neural network.,"<p>Pre-mRNAs are spliced into mature transcripts with extraordinary precision, but it is still unclear how the cellular machinery manages to be so particular. SpliceAI is a deep residual neural network that just requires the genomic sequence of the pre-mRNA transcript as input to predict whether each point in a pre-mRNA transcript is a splice donor, acceptor, or neither.<br><br><strong>Example use case:</strong>  Predicting splice variants<br><br><strong>Technology:</strong> Deep Neural Network (DNN)<br><br><strong>Limitation: </strong>Some of the parameters are kept as default. Please check this <a href=""https://github.com/Illumina/SpliceAI"" target=""_self"">page</a> for more information.<br><br><strong>Metrics:</strong> Some of the metrics related to work can be found in the <a href=""https://www.cell.com/cell/fulltext/S0092-8674(18)31629-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867418316295%3Fshowall%3Dtrue#secsectitle0035"" target=""_self"">article</a>.</p>
",Illumina Inc.,"['Deep Neural Network (DNN)', 'Genomics']",639b02ee2ffa50c6deece2a1,"[{'default_value': {'label': 'HG19', 'value': 'hg19'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'ref_genome', 'options': [{'label': 'HG19', 'value': 'hg19'}, {'label': 'HG38', 'value': 'hg38'}], 'title': 'Reference Genome', 'tooltip': 'Please specify the reference genome that you used in the alignment step. For demo file, referance genome should be HG19.'}]","[{'allowedFormats': {'fileExtensions': ['vcf'], 'title': '.vcf', 'value': ''}, 'dataStructure': 'The app accepts a VCF file as input. VCF stands for Variant Call Format. It is a text file format that is used to represent SNP, indel, and structural variation calls.', 'demoDataDetails': {'description': ""As the demo input file, a sample file from the app's GitHub repository was used."", 'fileName': 'input.vcf', 'filePath': 'apps/spliceai/resources/input.vcf', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/Illumina/SpliceAI/tree/master/examples'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Upload VCF File', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Product Issues,Predicts if a SMILES-molecule will encounter Product Issues using ChemBERTa.,"<p>Predicts possible undesirable product issues of molecules (SMILES format). Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.66</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639bc7182ffa50c6deece317,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Product issues', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Product issues/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Investigations,Predicts if a SMILES-molecule had Investigations issues using ChemBERTa.,"<p>Predicts possible Investigations issues of molecules (SMILES format). The issues include laboratory tests and other medical investigations that gave an unusual reading. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.67</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639bc94a2ffa50c6deece31f,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Investigations', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Investigations/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - General Disorders and Administration Site Conditions,Predicts if a SMILES-molecule will have General disorders and administration site conditions.,"<p>Predicts possible undesirable General disorders and administration site conditions of molecules (SMILES format). These are a class of disorders that encompasses conditions of a general kind that result from a disease, the treatment of disease or administration of treatment at a particular site and are manifested by a characteristic set of symptoms and signs. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.71</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639bcb202ffa50c6deece324,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'General disorders and administration site conditions', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/General disorders and administration site conditions/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Eye disorders,"Predicts if a SMILES-molecule will cause eye disorders, using ChemBERTa.","<p>Predicts if a molecule may produce undesirable eye disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.65</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639bccbf2ffa50c6deece330,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Eye disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Eye disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Endocrine disorders,"Predicts if a SMILES-molecule may cause Endocrine disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Endocrine disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><strong>Example use case</strong>: Drug interactions and side effects.<br><br><strong>Technology</strong>: ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics</strong></p>
<p>Test-AUC 0.67</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639bce4e2ffa50c6deece335,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Endocrine disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Endocrine disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Blood and lymphatic system disorders,"Predicts if a SMILES-molecule may cause Blood and lymphatic system disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Blood and lymphatic system disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature.&nbsp;</p>
<p><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.67</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639bcf6d2ffa50c6deece33a,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Blood and lymphatic system disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Blood and lymphatic system disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect -  Musculoskeletal and connective tissue disorders,"Predicts if a SMILES-molecule may cause Musculoskeletal and connective disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Musculoskeletal and connective tissue disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.72</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639cab2d2ffa50c6deece3ce,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Musculoskeletal and connective tissue disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format.', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Musculoskeletal and connective tissue disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Gastrointestinal disorders,"Predicts if a SMILES-molecule may cause Gastrointestinal disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Gastrointestinal disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.78</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639cac392ffa50c6deece3d4,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Gastrointestinal disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format.', 'demoDataDetails': {'description': 'Test data from the SIDER dataset', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Gastrointestinal disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Renal and urinary disorders,"Predicts if a SMILES-molecule may cause Renal and urinary disorders, using ChemBERTa.","<p>Predicts if a molecule may cause  Renal and urinary disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.69</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639cad762ffa50c6deece3dc,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Renal and urinary disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format.', 'demoDataDetails': {'description': 'Test data from the SIDER dataset.', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Renal and urinary disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
"ChemBERTa: Molecule Side Effect - Respiratory, thoracic and mediastinal disorders","Predicts if a SMILES-molecule may cause Respiratory and mediastinal disorders, using ChemBERTa.","<p>Predicts if a molecule may cause  Respiratory, thoracic and mediastinal disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case</strong>: Drug interactions and side effects.<br><br><strong>Technology</strong>: ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics</strong><br>Test-AUC 0.67</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639cae792ffa50c6deece3e1,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Respiratory, thoracic and mediastinal disorders', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format.', 'demoDataDetails': {'description': 'Test data from the SIDER dataset.', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Respiratory, thoracic and mediastinal disorders/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemBERTa: Molecule Side Effect - Infections and infestations,"Predicts if a SMILES-molecule may contribute to Infections and infestations, using ChemBERTa.","<p>Predicts if a molecule may contribute to Infections and infestations caused by pathogens. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology: </strong>ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.67</p>
","ChemBERTa, SIDER & Superbio","['Classification', 'Drug Side Effects', 'csv', 'Cheminformatics']",639cb1232ffa50c6deece3e7,"[{'default_value': {'label': 'Canonical SMILES', 'value': 'canonical_smiles'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'smiles_format', 'options': [], 'title': 'SMILES', 'tooltip': 'Choose SMILES format'}, {'default_value': 'Infections and infestations', 'hidden': True, 'input_type': 'user_input', 'name': 'pipeline', 'title': 'pipeline', 'tooltip': 'pipeline', 'type': 'text'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'csv'}, 'dataStructure': 'Data should be in csv format with a single column named smiles. The molecule must be in smiles format.', 'demoDataDetails': {'description': 'Test data from the SIDER dataset.', 'fileName': 'demo_data.csv', 'filePath': 'apps/chemberta_models/Infections and infestations/demo_data.csv', 'fileSource': [{'title': 'Data Source', 'url': 'http://sideeffects.embl.de/'}]}, 'disabled': False, 'name': 'inference_data', 'optional': False, 'title': 'Train Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
