name,description,long_description
DFCAN: 2D Image Up-sampling Training Pipeline,DFCAN transforms low-resolution images to super-resolved images.,"<p>DFCAN transforms low-resolution (LR) images to super-resolved (SR) images. The training is done using LR-SR image pairs, taking the LR images as input and obtaining an output as close to SR as possible. DFCAN achieves comparable image quality to SIM over a tenfold longer duration in multicolor live-cell imaging experiments, which reveal the detailed structures of mitochondrial cristae and nucleoids and the interaction dynamics of organelles and cytoskeleton. <span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-family: Poppins, sans-serif;"">Model saving and GPU access available soon.</span> <br><br><strong>Example use case: </strong>Take low-resolution microscapy images and increase the resoution of them to reveal clearer structures in the images<br><br><strong>Technology: </strong>Deep Fourier channel attention network&nbsp;</p>
"
Reinvent: Train Initial Generative Model for Prior/Agent,Train model created by the Reinvent: Create Initial Prior/Agent Generative Model app,"<p>This app was originally created based on notebook (Transfer Learning Mode) from the ReinventCommunity repo. The purpose of this app is to train an empty model created from the previous <a href=""https://app.superbio.ai/apps/167?id=636ada2f7d6789757197927a"" target=""_blank"">Reinvent: Create Initial prior/agent Generative Model.</a>  In this scenario, inputs are an empty model (.ckpt file) and a processed dataset (.csv file) generated by <a href=""https://app.superbio.ai/apps/162?id=6364d7049c2c44f0b26d486a"" target=""_blank"">Reinvent: Data Preparation Module</a>. The output will be the Prior that can be used afterward for other apps of Reinvent such as reinforcement learning. For more information, please see the tutorial <a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank""><span style=""color: inherit;"">page</span></a> of Reinvent Apps.<br><br><strong>Example Use Case:</strong> Train generative model with Transfer Learning<br><br><strong>Limitations: </strong>Some of the parameters are kept the same as in the original notebook.<br><br><strong>Technology: </strong>Transfer Learning (TL)<br></p>
"
Pix2Pix: Image to Image Translation Training,Train pix2pix to translate one image domain to another image domain.,"<p>Train pix2pix to translate one image domain to another image domain. The image transformation requires paired images for training (supervised learning) to learn information from the input image and obtain the equivalent translated image. <span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-size: 13.66;font-family: Poppins, sans-serif;"">Model saving and GPU access available soon.</span> <br> <br><strong>Example use case:</strong> in silico cell painting, semantic segmentation, background removal, style transfer.<br><br><strong>Technology:</strong> Generative Adversarial Network</p>
"
COVID-Net-CT: COVID-19 Detection from CT-scan,Covid19 detection from chest CT images.,"<p>Prediction of COVID-19 diagnosis from chest CT images<br><br><strong>Example use case: </strong>COVID-19 research<br><br><strong>Tecnology: </strong>Deep convolutional neural network<br> <br><strong>Limitations: </strong>Do not use COVID-Net for self-diagnosis and seek help from your local health authorities<br><br><strong>Metrics: </strong><a href=""https://github.com/haydengunraj/COVIDNet-CT#results"" target=""_self"">As reported by the COVID-Net Open Source Initiative</a>&nbsp;</p>
"
Reinvent: Train QSAR Models for Target Proteins,This tool of REINVENT provides you to create QSAR models for your target protein(e.g.DRD2 receptor),"<p>This app derives from a notebook (Model Building Demo) in the ReinventCommunity repo. The aim of this app is to generate a QSAR model for a target protein that you are interested. QSAR modeling is an estimation of the activity/property/toxicity of new chemical entities in the drug discovery process. In the demo, SMILES that known activities on the DRD2 receptor were used. SMILES are transformed into fingerprints and act as the input in the code. Since REINVENT only supports pickled scikit-learn models, the output files are in <strong>(.pkl)</strong> format. The output file either can be used by <a href=""https://app.superbio.ai/apps/181?id=637b69712ffa50c6deecda32"" target=""_blank""><strong>(Reinvent: Reinforcement Learning Module)</strong></a>  or  <a href=""https://app.superbio.ai/apps/182?id=637b6ba22ffa50c6deecda3a"" target=""_blank""><strong>(Reinvent: Scoring Module)</strong></a>  apps. For more information, please see the tutorial <a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank""><span style=""color: inherit;"">page</span></a> of Reinvent Apps. <br><br><strong>Example Use Case:  </strong>Generating QSAR models for target protein<br><br><strong>Limitations: </strong><br>     - Only scikit-learn models <strong>(.pkl)</strong> are accepted by REINVENT<br>     - Since the demo notebook contains only classification methodology for the random forest, the app provides this option currently.<br><br><strong>Technology: </strong>Random Forest, scikit-learn, Quantitative structure-activity relationship<br><br><strong>Metrics: </strong>AUC score metrics from demo data are represented <a href=""https://github.com/MolecularAI/ReinventCommunity/blob/master/notebooks/Model_Building_Demo.ipynb"" target=""_blank"">here</a>. Also, you can check the Example Output of this app.</p>
"
Tuberculosis-Net (TB-Net),Tuberculosis detection from chest X-ray images.,"<p>Prediction of Tuberculosis diagnosis from chest X-ray images</p>
<p><strong>Example use case: </strong> TB case detection<br><br><strong>Tecnology: </strong>Deep convolutional neural network<br> <br><strong>Limitations: </strong>Do not use TB-Net for self-diagnosis and seek help from your local health authorities<br><br><strong>Metrics: </strong><a href=""https://github.com/darwinai/TuberculosisNet#results"" target=""_blank"">As reported by the TB-Net Open Source Initiative</a>&nbsp;</p>
"
Cancer-Net SCa,Skin cancer detection from dermoscopy images.,"<p>Prediction of skin cancer diagnosis from dermoscopy images</p>
<p><strong>Example use case: </strong> Skin cancer detection research<br><br><strong>Tecnology: </strong>Deep convolutional neural network<br> <br><strong>Limitations: </strong>Do not use Cancer-Net SCa for self-diagnosis and seek help from your local health authorities<br><br><strong>Metrics: </strong><a href=""https://github.com/jamesrenhoulee/CancerNet-SCa#results"" target=""_blank"">As reported by the Cancer-Net SCa Open Source Initiative</a>&nbsp;</p>
"
CycleGAN: Unpaired Image to Image Translation Training,CycleGAN captures characteristics of an image domain and learns to translate said characteristics into another image domain,"<p>CycleGAN is a method that can capture the characteristics of one image domain and learn how these characteristics can be translated into another image domain, all in the absence of any paired training examples. <span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-size: 13.66;font-family: Poppins, sans-serif;"">Model saving and GPU access available soon.</span> <br> <br><strong>Example use case:  </strong>In silico cell painting, semantic segmentation, background removal, style transfer.<br><br><strong>Limitations:</strong> If your dataset is paired, use <a href=""https://app.superbio.ai/apps/171?id=6372c90c2ffa50c6deecd907"" target=""_blank"">the pix2pix app</a> instead, paired training generally provides more information to the deep learning model and so can perform more effectively.<br><br><strong>Technology:</strong> Two Generative Adversairal Networks that learn to transform images both from the first domain to the second and vice-versa.</p>
"
Image Classification Transfer Learning,Transfer learning shortcuts much of the model training process by taking a piece of a model that has already been trained on a related task and reusing it in a new model.,"<p><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">Image classification models have millions of parameters. Training them from scratch requires a lot of labelled training data and a lot of computing power. Transfer learning is a technique that shortcuts much of this by taking a piece of a model that has already been trained on a related task and reusing it in a new model. Model saving and GPU access available soon.</span><br><br><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-weight: bold"">Example use case: </span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">Lesion, tumour, bacteria, animal etc. classification<br></span><br><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-weight: bold"">Technology:</span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)""> Pretrained models from </span><span style=""color: #0088FF; background-color: rgb(255,255,255); text-decoration: underline""><a href=""https://www.tensorflow.org/hub"" target=""_blank"" rel=""noreferrer"">TensorFlow Hub</a></span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">.<br></span><br><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-weight: bold"">Metrics:</span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)""> All models trained on the </span><span style=""color: #0088FF; background-color: rgb(255,255,255); text-decoration: underline""><a href=""https://www.image-net.org/"" target=""_blank"" rel=""noreferrer"">ImageNet</a></span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)""> dataset containing 14,197,122 images labelled under 1000 classes.</span></p>"
Reinvent: Reinforcement Learning Module,This app directs the generative model toward relevant areas in the chemical space with help of RL.,"<p>The reference notebook of this app is ""Reinforcement Learning Demo"" from the ReinventCommunity repository. The purpose of this app decides which molecules are ""good"" or ""bad"" by using RL. Generally, the generative model that was created before must be directed to a relevant region of chemical space that involve compounds of interest. To achieve this, a Reinforcement Learning methodology is used with several scoring functions defined by the user. During the RL, molecules are generated by the <strong><em>agent </em></strong>and receive a score between 0 and 1. For more information, please see the tutorial <a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank""><span style=""color: inherit;"">page</span></a> of Reinvent Apps.<br> <br><strong>Example use case:</strong> Generate molecules with RL setup.<br><br><strong>Limitations:</strong><br>-Some of the parameters are kept as default and not shown here (they will be added next versions)<br>-Currently, only the CPU version is available<br><br><strong>Technology:</strong> Reinforcement Learning<br><br><strong>Metrics: </strong>See metrics in the original demo <a href=""https://github.com/MolecularAI/ReinventCommunity/blob/master/notebooks/Reinforcement_Learning_Demo.ipynb"" target=""_blank"">notebook</a> this app is derived from</p>
"
Reinvent: Scoring Mode,The scoring mode of Reinvent enables users to use scoring functions to evaluate SMILES directly.,"<p>This app is derived from the <span style=""color: #0088FF""><a href=""https://github.com/MolecularAI/ReinventCommunity/blob/master/notebooks/Scoring_Demo.ipynb"" target=""_blank"" rel=""noreferrer"">""Scoring Demo""</a></span> notebook in the ReinventCommunity repository. The purpose of this module is to estimate SMILES scores with the same scoring function as intended for the RL. For example, in the RL process inception, SMILES can be used. In order to evaluate whether these SMILES are good or not for your case independently, they can be used in this app to produce scores for evaluation. For more information, please see the tutorial <span style=""color: #0088FF""><a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank"" rel=""noreferrer"">page</a></span> of Reinvent Apps.<br><br><span style=""font-weight: bold"">Example use case:</span> Evaluation of SMILES strings by utilizing the same scoring function in the RL<br><br><span style=""font-weight: bold"">Limitation:</span><br>- Some of the parameters are kept as default and not shown here (they will be added next versions)<br><br><span style=""font-weight: bold"">Technology:</span> RDkit</p>"
Reinvent: Sampling Module,This module allows users to sample further SMILES from a given model state(agent).,"<p>This app is based on <a href=""https://github.com/MolecularAI/ReinventCommunity/blob/master/notebooks/Sampling_Demo.ipynb"" target=""_blank"">""Sampling_Demo.ipynb</a>"" from the ReinventCommunity notebook. The purpose of the notebook is to show how to sample further compounds from a given model state (agent). During the RL process, each iteration of the agent produces an output of a number of molecules and stores it inside. If more ideas are necessary for the project afterward, this can be achieved through this module. The sampling module enables you to extract molecules from the trained agent (given model state) to use for more investigation. For more information, please see the tutorial <a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank"">page</a> of Reinvent Apps.<br> <br><strong>Example Use Case: </strong>A sampling of SMILES from the generative trained agent<br><br><strong>Limitation: </strong><br>- Job only can be submitted in CPU version<br>- Currently, maximum 5 million SMILES can be sampled</p>
"
Cutadapt: Sequence Trimming For High-Throughput Reads,Cutadapt allows you to remove unwanted sequences (e.g. adapters) from your high-throughput reads.,"<p>Data quality can be important for downstream analysis (e.g. alignment) and data cleaning is one of the most important steps to improve data quality. This app eliminates unnecessary reads from your sequence (e.g. adapters, primers, Poly-A tails). Inputs are FASTQ reads and adapters sequences. Output is an info table generated by the Cudatapt algorithm. Based on <a href=""https://cutadapt.readthedocs.io/en/v4.1/"" target=""_blank"">Cutadapt</a> version  <strong><em>v4.1</em></strong>. <br><br><strong>Example Use Case:</strong> Remove unwanted 3' adapters from the FASTQ sequence<br><br><strong>Limitation:</strong> Currently, only 3' adapters are accepted</p>
"
DeepNull: Modeling Non-Linear Covariate Effects,DeepNull determines and rearranges non-linear and interactive covariate effects with a deep neural network to increase power in genome-wide association studies (GWAS).,"<p>A typical strategy for examining the relationship between genotype and phenotype while controlling for a number of factors is genome-wide association studies (GWAS). Covariates that could have non-linear or interaction effects are typically ignored by GWAS. When such non-linearity is detected, DeepNull can model the non-linear impact of variables on phenotypes. It learns this potentially complicated and non-linear relationship using a flexible deep neural network (DNN), and during association testing, makes adjustments for the network's expectation of phenotype (based on covariates only).<br><br><span style=""font-weight: bold"">Example use case:</span> Improve phenotype prediction and association power in GWAS<br><br><span style=""font-weight: bold"">Technology: </span>Deep Neural Network (DNN)<br><br><span style=""font-weight: bold"">Limitation: </span>Some of the DNN parameters were left as default. Please check this <span style=""color: #0088FF""><a href=""https://github.com/Google-Health/genomics-research/blob/main/nonlinear-covariate-gwas/config.py"" target=""_blank"" rel=""noreferrer"">page</a></span> for more information.</p>"
MetaESM: One Shot Protein Variant Prediction,Predict variant sequences without supervision or additional training,"<p style=""text-align: left""><span style=""color: rgb(25,25,25); background-color: rgb(255,255,255)"">The approach to date has been to fit a model to a family of related sequences. The conventional setting is limited, since a new model must be trained for each prediction task. These </span><span style=""color: rgb(25,25,25); background-color: rgb(255,255,255); font-size: 14px; font-family: Poppins, sans-serif"">state-of-the-art</span><span style=""color: rgb(25,25,25); background-color: rgb(255,255,255); font-size: 14px; font-family: Poppins, sans-serif""> models </span><span style=""color: rgb(25,25,25); background-color: rgb(255,255,255)"">use only zero-shot inference, without any supervision from experimental data or additional training, capturing the functional effects of sequence variation.</span><br><br><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-weight: bold"">Example use case: </span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">Predicting protein sequence variants, along with the effects of these variants on protein function.<br></span><br><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-weight: bold"">Technology: </span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">The training mode adjusts the number of models used to generate predictions. Fast uses a single model, standard three, and intensive five. Where multiple models are used their ensemble is used to provide overall metrics. </span></p>"
MetaESM: Protein Contact Prediction,Generate accurate protein contact predictions.,"<p><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">ESM-2 outperforms all tested single-sequence protein language models across a range of structure prediction tasks. There are many ways to define a protein contact. Here we're using the definition of 8 angstroms between carbon beta atoms. Note that the position of the carbon beta is imputed from the position of the N, CA, and C atoms for each residue. Inputs required: 1-10 .a3m files (aligned fasta).</span><br><br><span style=""font-weight: bold"">Example Use Case: </span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">predicting where amino acids at different points along a sequence are in close proximity. Contact maps are generated, which provide a 2D representation of the proximity of amino acids in 3D space. This can provide clues about protein function and 3D protein structure.</span></p>
<p><br><span style=""font-weight: bold"">Technology: </span><span style=""color: rgba(0,0,0,0.87); background-color: rgb(255,255,255)"">if CPU is selected when submitting the job, then the esm2_t12_35M_UR50D model will be used (35M parameters), while if GPU is selected, then the more powerful esm2_t33_650M_UR50D model will be used (650M parameters). </span></p>"
MetaESM: Protein Variant Prediction,Generate accurate protein variant predictions.,"<p style=""text-align: start""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">ESM-2 outperforms all tested single-sequence protein language models across a range of structure prediction tasks. This app has three stages. First, an embedding (fixed-dimensional vector representation) is obtained for each mutated sequence. Second, PCA is applied to reduce the number of dimensions prior to modelling. Third, a regression model is trained that can predict the mutation ""effect"" score given the embedding. Three types of model will be compared: random forests, support vector machines, and K nearest neighbours.</span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-size: 14px; font-family: Poppins, sans-serif""><br><br></span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-weight: bold"">Example Use Case</span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">: predicting the biological activity of mutations of a protein, using fixed embeddings from ESM. The output in this case describes scaled effect of the mutation.<br></span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-size: 14px; font-family: Poppins, sans-serif""><br></span><span style=""color: rgba(0,0,0,0.87); background-color: rgb(255,255,255); font-weight: bold"">Technology</span><span style=""color: rgba(0,0,0,0.87); background-color: rgb(255,255,255)"">: if CPU is selected when submitting the job, then the esm2_t12_35M_UR50D model will be used (35M parameters), while if GPU is selected, then the more powerful esm2_t33_650M_UR50D model will be used (650M parameters). </span></p>"
Single Cell RNA-Seq Quality Control with AUTOZI,Check distribution and zero-inflation of an scRNA dataset,"<p>AutoZI is a deep generative model adapted from scVI allowing a gene-specific treatment of zero-inflation. Plots relating to batch effects and gene expression levels are also generated. Ideally, data should be provided in .h5ad format, which is native to the Anndata python package. Alternatively, .h5, .csv or.mtx files can be provided if their formatting is suitable.<br><span style=""font-size: 14px""><br></span><span style=""font-weight: bold"">Example use case:</span><span style=""font-size: 14px"">&nbsp;</span>In single-cell RNA sequencing data, biological processes or technical factors may induce an overabundance of zero measurements. Existing probabilistic approaches to interpreting these data either model all genes as zero-inflated, or none. But the overabundance of zeros might be gene-specific. AutoZI can distinguish between zero-inflated and non-zero inflated genes.</p>"
Single Cell LDVAE,LDVAE produces a generative model comparable to probabilistic PCA or factor analysis,"<p><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">LDVAE (Linearly-decoded Variational Auto-encoder, also called Linear scVI) is a flavor of scVI with a linear decoder.<br></span><br><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">The advantages of LDVAE are: (i) Can be used to interpret latent dimensions with factor loading matrix. (ii) Scalable to very large datasets (>1 million cells).<br></span><br><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">The limitations of LDVAE include: (i) Less capacity than scVI differential expression or scANVI for annotation, which use a neural network decoder. (ii) Less capable of integrating data with complex batch effects. </span></p>"
Single Cell Assign,CellAssign predict cell types for each cell using known cell-type-specific gene markers.,"<p>CellAssign is a simple yet, efficient approach for annotating scRNA-seq data in the scenario in which cell-type-specific gene markers are known. The method also allows users to control for nuisance covariates like batch or donor. The scvi-tools implementation of CellAssign uses stochastic inference, such that CellAssign will scale to very large datasets.</p>
<p>The advantages of CellAssign are: (i) Lightweight model that can be fit quickly, (ii) Ability to control for nuisance factors.</p>
<p>The limitations of CellAssign include: (i) Requirement for a cell types by gene markers binary matrix, (ii) The simple linear model may not handle non-linear batch effects.</p>"
GrapHiC: Imputing missing Hi-C reads with graph-based approach,GrapHiC is a Hi-C imputation framework that imputes Hi-C contact matrices using a conditional Graph Autoencoder Network.,"<p>The three-dimensional (3D) architecture of the genome at various structural scales can be comprehended and investigated by scientists using Hi-C, a high-throughput chromosomal conformation capture technique. Generally, Hi-C experiment data is stored in a contact map of size <em>N × N</em>. Each row and column correspond to fixed-width <em>N</em> windows (“bins”) in the range of 1 kbps to 1 mbps. The examination of these contact maps revealed significant structural features such as topologically associated domains (TADs).<br><br>Building high-resolution Hi-C contact maps often necessitate billions of reads, which is often impossible. GrapHiC imputes Hi-C contact maps by reformulating the Hi-C data as a position-aware graph, using less expensive ChIP-seq signals, and proposing a generative graph-autoencoder that first encodes the input graph into a latent representation.<br><br><strong>Example use case:</strong>  Imputation of Hi-C data<br><br><strong>Technology:</strong> Graph Auto-Encoder (GAE)<br><br><strong>Limitation:</strong><br>- Some of the parameters were left as default. Please check this <a href=""https://github.com/rsinghlab/GrapHiC/blob/main/parameters.py"" target=""_blank"">page</a> for more information.<br><br><strong>Metrics:</strong> Detailed metrics of the study can be found in <a href=""https://www.biorxiv.org/content/10.1101/2022.10.19.512942v2.supplementary-material"" target=""_blank"">the supplementary file</a>. <br><br><strong>Epigenetic Features:</strong><br><br><strong>All: </strong>['RAD-21', 'RNA-Pol2','CTCF', 'DNASE-Seq', 'H3K27ME3', 'H3K27AC', 'H3K36ME3', 'H3K4ME1', 'H3K4ME2', 'H3K4ME3', 'H3K79ME2', 'H3K9AC', 'H4K20ME1', 'H3K9ME3']<br><strong>DNA-Acessibility: </strong>['RAD-21', 'RNA-Pol2','CTCF', 'DNASE-Seq']<br><strong>Repression-Marker</strong>: ['H3K27ME3', 'H3K4ME2', 'H4K20ME1']<br><strong>Activating-Marker: </strong>['H3K4ME3', 'H3K9AC', 'H3K9ME3']<br><strong>Enchancer-Interaction-Marker:</strong> ['H3K36ME3', 'H3K79ME2']<br><strong>Gene-Related: </strong>['H3K36ME3', 'H3K79ME2']<br><strong>HiC-Reg-Reduced:</strong> ['CTCF', 'DNASE-Seq', 'H4K20ME1', 'H3K27ME3', 'H3K9ME3', 'H3K9AC', 'H3K4ME1', 'H3K27AC']</p>
"
Single Cell Assign: HGSC Inference,A pretrained model for generating high-grade serous carcinoma (HGSC) cell type predictions,"<p>High-grade serous carcinoma (HGSC) is a type of tumour that arises from the serous epithelial layer in the abdominopelvic cavity and is mainly found in the ovary. This pretrained model can be used to generate cell type predictions, based on precalculated gene-cell associations. <span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Note that the marker genes must be present in the uploaded dataset. </span></p>"
Single Cell Assign: Follicular Lymphoma Inference,A pretrained model for generating follicular lymphoma cell type predictions,"<p>Follicular lymphoma is the most common type of of low-grade non-Hodgkin lymphoma (NHL). It develops when white blood cells cluster together to form lumps in lymph glands or organs. There are two main types of lymphoma: Hodgkin lymphoma and non-Hodgkin lymphoma. <span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">This pretrained model can be used to generate cell type predictions, based on precalculated gene-cell associations. Note that the marker genes must be present in the uploaded dataset.</span></p>"
Stereoscope for Spatial Transcriptomics,"Stereoscope can stratify cells into discrete cell types, providing spatial representations of each","<p>Stereoscope posits a probabilistic model of spatial transcriptomics and an associated method for the deconvoluton of cell type profiles using a single-cell RNA sequencing reference dataset.<br><br>The advantages of Stereoscope are: (i) Can stratify cells into discrete cell types, (ii) Scalable to very large datasets (>1 million cells).<br><br>Stereoscope requires training two latent variable models (LVMs): one for the single-cell reference dataset and one for the spatial transcriptomics dataset, which incorporates the learned parameters of the single-cell reference LVM. The first LVM takes in as input a scRNA-seq gene expression matrix of UMI counts with cells and genes, along with a vector of cell type labels. Subsequently, the second LVM takes in the learned parameters of the first LVM, along with a spatial gene expression matrix with spots and genes. This matrix should be uploaded as a csv file with gene names, 3D location, and tissue values in different columns.<br><br><span style=""font-weight: bold"">Example use case: </span>Train a probabilistic model of spatial transcriptomics (measure all the gene activity in a tissue sample and map where the activity is occurring) and an associated method for the deconvoluton of cell type profiles (estimating the proportions of different cell types in samples collected from a tissue) using a single-cell RNA sequencing reference dataset.<br><br><span style=""font-weight: bold"">Limitations:</span> Effectively requires a GPU for fast inference.</p>"
SynthSeg: Contrast-agnostic Segmentation of Brain MRI,Segmentation of MRI brain scans of any contrast and resolution into 60 separate structures,"<p>SynthSeg is the first convolutional neural network for segmentation of brain scans of any contrast and resolution that works out-of-the-box, without retraining or fine-tuning. SynthSeg relies on a single model, which is robust to a wide array of subject populations: from young and healthy to ageing and diseased subjects, white matter lesions, scans with or without preprocessing, including bias field corruption, skull stripping, intensity normalisation, template registration, etc.<br><br><strong>Example use case: </strong>SynthSeg can segment real scans of any target domain, which enables analysis of huge amounts of heterogeneous clinical data.<br><br><strong>Technology: </strong>Convoluional neural network<br><br><strong>Metrics: </strong>Trained on a synthetic dataset. Obtains a dice score of &gt; 0.85 on most availiable brain MRI datasets</p>
"
CITE-seq Analysis with totalVI,totalVI (total Variational Inference) models CITE-seq RNA and protein data,"<p><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255)"">totalVI (total Variational Inference) provides a flexible generative model of CITE-seq RNA and protein data that can be used for many common downstream tasks.<br><br>The advantages of totalVI are: (i) Comprehensive in capabilities. (ii) Scalable to very large datasets (>1 million cells).<br><br>Data should include the protein expression matrix, with one row per observation, and one column per protein.</span><br><br><span style=""font-weight: bold"">Example use case: </span>Train a generative model of CITE-seq RNA and protein data that can be used for many common downstream tasks.<br><br><span style=""font-weight: bold"">Limitations:</span> Effectively requires a GPU for fast inference. And, difficult to understand the balance between RNA and protein data in the low-dimensional representation of cells.</p>"
DestVI for Spatial Transcriptomics,DestVI models variation within cell types,"<p>DestVI (Deconvolution of Spatial Transcriptomics profiles using Variational Inference) posits a conditional generative model of spatial transcriptomics down to the sub-cell-type variation level which can be used to explore the spatial organization of a tissue and understanding gene expression variation between tissues and conditions.<br>The advantages of DestVI are: (i) Can stratify cells into discrete cell types and model continuous sub-cell-type variation, (ii) Scalable to very large datasets (>1 million cells).<br><br><span style=""font-weight: bold"">Example use case:</span> Deconvolution of, for example, 10x Visium spatial transcriptomics profiles using an accompanying single-cell RNA sequencing data.<br><br><span style=""font-weight: bold"">Limitations:</span> Effectively requires a GPU for fast inference.</p>"
DiffSBDD: Structure-based Drug Design with Equivariant Diffusion Models,Generate small-molecule ligands that bind with high affinity and specificity to pre-determined protein targets using AI diffusion.,"<p>Structure-based drug design (SBDD) aims to design small-molecule ligands that bind with high affinity and specificity to pre-determined protein targets. This app generates small-molecule ligands that bind with high affinity and specificity to pre-determined protein targets using AI diffusion.<br><br><strong>Example use case:</strong> Generate ligands for a binding pocket inside a target of interest to elcit a desired therapeutic effect<br> <br><strong>Technology: </strong>E(3)-equivariant 3D-conditional diffusion</p>
"
DeepFRI:Structure-Based Function Prediction using Graph Convolutional Networks,DeepFRI is a Graph Convolutional Networks (GCN)-based method for predicting the functions of protein sequences and structures.,"<p>One of the most significant biological challenges in the post-genomic era is understanding the functional roles and investigating the mechanisms of newly found proteins. A deep learning technique called DeepFRI uses both sequences and contact map representations of 3D structures to predict protein function. The protein structures from the PDB and SWISS-MODEL are used to train DeepFRI. LSTM-LM(Long Short-Term Memory Language Model) was used to learn features from protein sequences and GCN was used to discover features from contact maps.<br><br><strong>Example use case:</strong>  Predicting protein functions<br><br><strong>Technology:</strong> Graph Convolutional Networks (GCN), LSTM-LM<br><br><strong>Limitation: </strong>Some of the options to predict protein functions are currently not available. Please check this <a href=""https://github.com/flatironinstitute/DeepFRI"" target=""_self"">page</a> for more information.<br><br><strong>Metrics:</strong> Some of the metrics related to work can be found <a href=""https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-021-23303-9/MediaObjects/41467_2021_23303_MOESM1_ESM.pdf"" target=""_self"">here</a></p>
"
Tangram for Spatial Transcriptomics,For mapping single-cell gene expression data onto spatial gene expression data.,"<p>Tangram is for mapping single-cell (or single-nucleus) gene expression data onto spatial gene expression data. The single-cell dataset and the spatial dataset should be collected from the same anatomical region/tissue type, ideally from a biological replicate, and need to share a set of genes. Tangram aligns the single-cell data in space by fitting gene expression on the shared genes. Spatial data need to be organized as a voxel-by-gene matrix. The voxel coordinates are saved in the fields obs.x and obs.y which we can use to visualize the spatial ROI. Each ""dot"" is the center of a 10um voxel.<br><br><span style=""font-weight: bold"">Example use case: </span>The most common application of Tangram is to resolve cell types in space. Another usage is to correct gene expression from spatial data: as scRNA-seq data are less prone to dropout than (e.g.) Visium or Slide-seq, the ""new"" spatial data generated by Tangram resolve many more genes. As a result, we can visualize program usage in space, which can be used for ligand-receptor pair discovery or, more generally, cell-cell communication mechanisms. If cell segmentation is available, Tangram can be also used for deconvolution of spatial data. If your single cell are multimodal, Tangram can be used to spatially resolve other modalities, such as chromatin accessibility.</p>"
Superbio AutoML: Classification,AutoML pipeline by Superbio for classification (binary and multiclass).,"<p>Creates a series of models for tabular data and picks the best one. You can save the best model for later use at the end of the training.<br><br><span style=""font-weight: bold"">Limitations</span>: Data should not have leakage and be as clean as possible.<br><br><span style=""font-weight: bold"">Technology</span>: Classical ML models including XgBoost, Ensamble, and Bagging.<br><br><span style=""font-weight: bold"">Use cases</span>: Create a classification model (binary or multiclass) from tabular data.</p>"
Superbio AutoML: Regression,AutoML pipeline by Superbio for regression.,"<p>Creates a series of models for tabular data and picks the best one. You can save the best model for later use at the end of the training.<br><br><span style=""font-weight: bold"">Limitations:</span> Data should not have leakage and be as clean as possible.<br><br><span style=""font-weight: bold"">Technology:</span> Classical ML models including XgBoost, Ensamble, and Bagging.<br><br><span style=""font-weight: bold"">Use cases:</span> Create a regression model from tabular data.</p>"
